graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	subject	predicate	object	statement	qualifier	is_subj_person	is_subj_location	is_subj_event	is_subj_reason	is_subj_manner	is_obj_person	is_obj_location	is_obj_event	is_obj_reason	is_obj_manner	subj_mentions	pred_mentions	obj_mentions	sp_mentions	so_mentions	po_mentions	spo_mentions	event	distance	subj_centr_degree	obj_centr_degree	subj_wiki_occurs	obj_wiki_occurs	used	relevant
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P4342	http://www.wikidata.org/entity/Q39893449	http://www.wikidata.org/entity/statement/Q56226-1616894E-FF5A-4D1C-AB7F-3EF2DF83E05E	http://www.wikidata.org/prop/qualifier/P4390	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P4342	http://www.wikidata.org/entity/Q45403344	http://www.wikidata.org/entity/statement/Q56226-1616894E-FF5A-4D1C-AB7F-3EF2DF83E05E	http://www.wikidata.org/prop/qualifier/P2241	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P69	http://www.wikidata.org/entity/Q39980	http://www.wikidata.org/entity/statement/q56226-1A0867D7-F774-4D77-B804-180D05A8A3C1	http://www.wikidata.org/prop/statement/P69	1	0	0	0	0	0	1	0	0	0	124	3	2	3	2	1	1	0	0	0	54	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P241	http://www.wikidata.org/entity/Q240670	http://www.wikidata.org/entity/statement/Q56226-1bfda60a-4e28-d34b-5b9f-549e252d1af1	http://www.wikidata.org/prop/statement/P241	1	0	0	0	0	1	0	0	0	0	124	1	3	1	3	1	1	0	0	0	173	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P410	http://www.wikidata.org/entity/Q111837	http://www.wikidata.org/entity/statement/Q56226-1d04547c-4de5-ed51-3ed8-41d3975663f0	http://www.wikidata.org/prop/statement/P410	1	0	0	0	0	0	0	0	0	0	124	4	2	4	2	1	1	0	0	0	824	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P551	http://www.wikidata.org/entity/Q7385314	http://www.wikidata.org/entity/statement/Q56226-289A6BD9-D6FC-4474-8693-6AD849CEDA1B	http://www.wikidata.org/prop/statement/P551	1	0	0	0	0	0	1	0	0	0	124	1	4	1	4	1	1	0	0	0	24	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1412	http://www.wikidata.org/entity/Q9176	http://www.wikidata.org/entity/statement/Q56226-3528d3c3-4244-7d46-9940-427501a05a6c	http://www.wikidata.org/prop/statement/P1412	1	0	0	0	0	0	0	0	0	0	124	1	4	1	4	1	1	0	0	0	10000	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P69	http://www.wikidata.org/entity/Q39920	http://www.wikidata.org/entity/statement/q56226-36F2E303-F224-4E2F-9BBE-A2C045EB7DFB	http://www.wikidata.org/prop/statement/P69	1	0	0	0	0	0	1	0	0	0	124	3	2	3	2	1	1	0	0	0	286	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P53	http://www.wikidata.org/entity/Q4220705	http://www.wikidata.org/entity/statement/Q56226-3F61E931-ECD6-41C0-9FC8-C045EC13AC28	http://www.wikidata.org/prop/statement/P53	1	0	0	0	0	1	0	0	0	0	124	1	2	1	2	1	1	0	0	0	41	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	http://www.wikidata.org/entity/Q604370	http://www.wikidata.org/entity/statement/Q56226-402c415d-411d-5701-cf0a-d488ad3cdeeb	http://www.wikidata.org/prop/statement/P166	1	0	0	0	0	0	0	0	0	0	124	12	6	12	6	5	5	0	0	0	798	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P910	http://www.wikidata.org/entity/Q18512966	http://www.wikidata.org/entity/statement/Q56226-4385BB97-BDBA-45FA-9795-1376776D3A17	http://www.wikidata.org/prop/statement/P910	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	21	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q709616	http://www.wikidata.org/entity/statement/q56226-47D9940D-B981-4961-A570-8DF081EDE031	http://www.wikidata.org/prop/statement/P39	1	0	0	0	0	0	0	0	0	0	124	13	2	13	2	1	1	0	0	0	27	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q10665	http://www.wikidata.org/entity/statement/q56226-47D9940D-B981-4961-A570-8DF081EDE031	http://www.wikidata.org/prop/qualifier/P1365	1	0	0	0	0	1	0	0	0	0	124	13	6	13	6	4	4	0	0	0	261	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P172	http://www.wikidata.org/entity/Q484464	http://www.wikidata.org/entity/statement/Q56226-A63A3F16-26F9-42FE-87C9-AB6ADE5E7634	http://www.wikidata.org/prop/statement/P172	1	0	0	0	0	1	0	0	0	0	124	2	1	2	1	1	1	0	0	0	688	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P172	http://www.wikidata.org/entity/Q22979588	http://www.wikidata.org/entity/statement/Q56226-A63A3F16-26F9-42FE-87C9-AB6ADE5E7634	http://www.wikidata.org/prop/qualifier/P2241	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P69	http://www.wikidata.org/entity/Q117001304	http://www.wikidata.org/entity/statement/Q56226-a72c9d79-4e22-5770-c330-881d64080f2b	http://www.wikidata.org/prop/statement/P69	1	0	0	0	0	1	0	0	0	0	124	3	2	3	2	1	1	0	0	0	3	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1830	http://www.wikidata.org/entity/Q7385314	http://www.wikidata.org/entity/statement/Q56226-AE44EABF-3441-45AB-A07F-D7510CF2C6A8	http://www.wikidata.org/prop/statement/P1830	1	0	0	0	0	0	1	0	0	0	124	1	4	1	4	1	1	0	0	0	24	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P40	http://www.wikidata.org/entity/Q117012326	http://www.wikidata.org/entity/statement/Q56226-b14308c1-4260-2240-499b-1c70a315c19a	http://www.wikidata.org/prop/statement/P40	1	0	0	0	0	1	0	0	0	0	124	2	2	2	2	1	1	0	0	0	5	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1343	http://www.wikidata.org/entity/Q17290934	http://www.wikidata.org/entity/statement/Q56226-B4E02069-E61C-4856-BB7E-E89FFF9115C9	http://www.wikidata.org/prop/statement/P1343	1	0	0	0	0	0	0	0	0	0	124	2	2	2	2	1	1	0	0	0	6600	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1343	http://www.wikidata.org/entity/Q17316515	http://www.wikidata.org/entity/statement/Q56226-B4E02069-E61C-4856-BB7E-E89FFF9115C9	http://www.wikidata.org/prop/qualifier/P805	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	2	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q4330651	http://www.wikidata.org/entity/statement/q56226-B6E80FE8-F263-4113-B81A-1AD11619809F	http://www.wikidata.org/prop/statement/P39	1	0	0	0	0	0	0	0	0	0	124	13	2	13	2	1	1	0	0	0	20	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q10665	http://www.wikidata.org/entity/statement/q56226-B6E80FE8-F263-4113-B81A-1AD11619809F	http://www.wikidata.org/prop/qualifier/P1365	1	0	0	0	0	1	0	0	0	0	124	13	6	13	6	4	4	0	0	0	261	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P31	http://www.wikidata.org/entity/Q5	http://www.wikidata.org/entity/statement/Q56226-BB228628-1A3E-488F-B90C-0FD093E8AF9E	http://www.wikidata.org/prop/statement/P31	1	0	0	0	0	0	0	0	0	0	124	1	1	1	1	1	1	0	0	0	10000	0	0	0	0
